# Null-Hypothese: '0'=Füller, AENzKM[NAM

 156. DIANE WADE                 score=0.28231
 157. DIANE WADA                 score=0.28231
 158. DIANE TADT                 score=0.28231
 159. DIANE TADE                 score=0.28231
 160. DIANE TADD                 score=0.28231
 161. DIANE TADA                 score=0.28231
 162. DIANE SADE                 score=0.28231
 163. DIANE SADA                 score=0.28231
 164. DIANE RADY                 score=0.28231
 165. DIANE RADO                 score=0.28231
 166. DIANE RADE                 score=0.28231
 167. DIANE RADA                 score=0.28231
 168. DIANE MADY                 score=0.28231
 169. DIANE MADU                 score=0.28231
 170. DIANE MADI                 score=0.28231
 171. DIANE MADA                 score=0.28231
 172. DIANE LADY                 score=0.28231
 173. DIANE LADT                 score=0.28231
 174. DIANE LADO                 score=0.28231
 175. DIANE LADE                 score=0.28231
 176. DIANE LADD                 score=0.28231
 177. DIANE LADA                 score=0.28231
 178. DIANE KADY                 score=0.28231
 179. DIANE KADI                 score=0.28231
 180. DIANE KADE                 score=0.28231
 181. DIANE HADY                 score=0.28231
 182. DIANE HADE                 score=0.28231
 183. DIANE HADA                 score=0.28231
 184. DIANE GADY                 score=0.28231
 185. DIANE GADE                 score=0.28231
 186. DIANE GADD                 score=0.28231
 187. DIANE EADY                 score=0.28231
 188. DIANE EADS                 score=0.28231
 189. DIANE EADE                 score=0.28231
 190. DIANE DADY                 score=0.28231
 191. DIANE DADO                 score=0.28231
 192. DIANE DADE                 score=0.28231
 193. DIANE DADD                 score=0.28231
 194. DIANE DADA                 score=0.28231
 195. DIANE CADY                 score=0.28231
 196. DIANE CADE                 score=0.28231
 197. DIANE CADA                 score=0.28231
 198. DIANE BADY                 score=0.28231
 199. DIANE BADO                 score=0.28231
 200. DIANE BADE                 score=0.28231
 201. DEBRA ABDO                 score=0.27548
 202. DEBRA ABDI                 score=0.27548
 203. MATTHEW ME                 score=0.26841
 204. LAURASAULS                 score=0.26484
 205. LAURA YULE                 score=0.26484
 206. LAURA WULF                 score=0.26484
 207. LAURA TULL                 score=0.26484
 208. LAURA TULK                 score=0.26484
 209. LAURA SULT                 score=0.26484
 210. LAURA SULE                 score=0.26484
 211. LAURA SULC                 score=0.26484
 212. LAURA RULL                 score=0.26484
 213. LAURA RULE                 score=0.26484
 214. LAURA PULS                 score=0.26484
 215. LAURA PULK                 score=0.26484
 216. LAURA NULL                 score=0.26484
 217. LAURA MULL                 score=0.26484
 218. LAURA MULE                 score=0.26484
 219. LAURA MULA                 score=0.26484
 220. LAURA LULL                 score=0.26484
 221. LAURA LULE                 score=0.26484
 222. LAURA KULP                 score=0.26484
 223. LAURA KULL                 score=0.26484
 224. LAURA KULA                 score=0.26484
 225. LAURA JULY                 score=0.26484
 226. LAURA IULO                 score=0.26484
 227. LAURA HULT                 score=0.26484
 228. LAURA HULS                 score=0.26484
 229. LAURA HULM                 score=0.26484
 230. LAURA HULL                 score=0.26484
 231. LAURA GULL                 score=0.26484
 232. LAURA GULA                 score=0.26484
 233. LAURA FULS                 score=0.26484
 234. LAURA FULP                 score=0.26484
 235. LAURA FULK                 score=0.26484
 236. LAURA EULL                 score=0.26484
 237. LAURA DULL                 score=0.26484
 238. LAURA DULA                 score=0.26484
 239. LAURA CULP                 score=0.26484
 240. LAURA CULL                 score=0.26484
 241. LAURA BULT                 score=0.26484
 242. LAURA BULL                 score=0.26484
 243. LAURA BULA                 score=0.26484
 244. LAURA AULT                 score=0.26484
 245. LAURA AULS                 score=0.26484
 246. LAURA AULL                 score=0.26484
 247. LAURA AULD                 score=0.26484
 248. TERRYYORTY                 score=0.25422
 249. TERRYYERTY                 score=0.25422
 250. TERRYTARTT                 score=0.25422
 251. TERRYHORTH                 score=0.25422
 252. TERRYHIRTH                 score=0.25422
 253. TERRYHERTH                 score=0.25422
 254. TERRYHARTH                 score=0.25422
 255. TERRY URTZ                 score=0.25422
 256. TERRY ORTZ                 score=0.25422
 257. TERRY ORTS                 score=0.25422
 258. TERRY ORTO                 score=0.25422
 259. TERRY ORTH                 score=0.25422
 260. TERRY ORTE                 score=0.25422
 261. TERRY ORTA                 score=0.25422
 262. TERRY ERTZ                 score=0.25422
 263. TERRY ERTL                 score=0.25422
 264. TERRY ARTZ                 score=0.25422
 265. TERRY ARTS                 score=0.25422
 266. ERICFREIER                 score=0.25375
 267. ERICDREIER                 score=0.25375
 268. ERICBREIER                 score=0.25375
 269. ERIC TWIET                 score=0.25375
 270. ERIC SPIES                 score=0.25375
 271. ERIC REIER                 score=0.25375
 272. ERIC KRIEK                 score=0.25375
 273. ERIC HSIEH                 score=0.25375
 274. ROGER SGRO                 score=0.22507
 275. ROGER AGRO                 score=0.22507
 276. ROGER AGRE                 score=0.22507
 277. RUTHWESTRE                 score=0.21689
