# Z13 Top-Kandidaten — gewichtet nach SSA-Vornamen + Census-Nachnamen
# Separator-Hypothese: '0' = Leerzeichen
# Format: RANG. VORNAME I1 I2 NACHNAME (score, nachname_rang)

 107. STAN B H MASH              score=0.0046  lname_rank=#840
 108. STAN B K MASK              score=0.0045  lname_rank=#860
 109. ALEC B N DEAN              score=0.0044  lname_rank=#259
 110. CRUZ A K TUCK              score=0.0044  lname_rank=#470
 111. DION A E MODE              score=0.0043  lname_rank=#820
 112. DION A E RODE              score=0.0041  lname_rank=#850
 113. CRUZ A K LUCK              score=0.0041  lname_rank=#500
 114. DION A E LODE              score=0.0040  lname_rank=#870
 115. THAD B E MATE              score=0.0032  lname_rank=#820
 116. THAD B E NATE              score=0.0032  lname_rank=#830
 117. RHEA B N KERN              score=0.0029  lname_rank=#680
 118. EZRA B Y FREY              score=0.0026  lname_rank=#632
 119. CHIP A K DICK              score=0.0025  lname_rank=#405
 120. EZRA B N WREN              score=0.0025  lname_rank=#670
 121. RHEA B M TERM              score=0.0024  lname_rank=#820
 122. RHEA B N TERN              score=0.0024  lname_rank=#840
 123. CRUZ A K MUCK              score=0.0024  lname_rank=#870
 124. RHEA B D NERD              score=0.0022  lname_rank=#890
 125. ODIS A N LION              score=0.0022  lname_rank=#830
 126. ALEC B D MEAD              score=0.0020  lname_rank=#560
 127. ARON B P SOAP              score=0.0020  lname_rank=#880
 128. OBIE A S RIOS              score=0.0019  lname_rank=#300
 129. OTHA B E SHOE              score=0.0018  lname_rank=#840
 130. ARIC B S DIAS              score=0.0016  lname_rank=#430
 131. CHIP A K RICK              score=0.0016  lname_rank=#640
 132. CHIP A K NICK              score=0.0016  lname_rank=#650
 133. CRIS A K DICK              score=0.0015  lname_rank=#405
 134. SHAD B T MAST              score=0.0015  lname_rank=#790
 135. CHET A K LECK              score=0.0015  lname_rank=#840
 136. CHET A K MECK              score=0.0014  lname_rank=#870
 137. CHET A K NECK              score=0.0014  lname_rank=#870
 138. SHAD B K MASK              score=0.0014  lname_rank=#860
 139. SHAD B K TASK              score=0.0014  lname_rank=#860
 140. ALEC B M TEAM              score=0.0014  lname_rank=#840
 141. ALEC B R TEAR              score=0.0013  lname_rank=#850
 142. SKIP A E WISE              score=0.0012  lname_rank=#370
 143. TREY A Z METZ              score=0.0012  lname_rank=#570
 144. CHIP A E MICE              score=0.0012  lname_rank=#880
 145. CHIP A K SICK              score=0.0012  lname_rank=#880
 146. LEIF A T HILT              score=0.0011  lname_rank=#820
 147. LEIF A T WILT              score=0.0011  lname_rank=#820
 148. LEIF A O SILO              score=0.0011  lname_rank=#840
 149. LEIF A D MILD              score=0.0010  lname_rank=#860
 150. THEA B Z METZ              score=0.0010  lname_rank=#570
 151. CRIS A K NICK              score=0.0010  lname_rank=#650
 152. SKIP A H FISH              score=0.0009  lname_rank=#503
 153. CRIS A K HICK              score=0.0009  lname_rank=#710
 154. CLEM A K HECK              score=0.0008  lname_rank=#630
 155. OBIE A N DION              score=0.0007  lname_rank=#770
 156. CRIS A E MICE              score=0.0007  lname_rank=#880
 157. OBIE A N LION              score=0.0007  lname_rank=#830
 158. THEO A Z METZ              score=0.0006  lname_rank=#570
 159. CLEM A K NECK              score=0.0006  lname_rank=#870
 160. OCIE A S RIOS              score=0.0006  lname_rank=#300
 161. ARLO C B SLAB              score=0.0006  lname_rank=#880
 162. ROEL A N KERN              score=0.0006  lname_rank=#680
 163. LIAM B E HALE              score=0.0005  lname_rank=#234
 164. SHAY B T MAST              score=0.0005  lname_rank=#790
 165. SKIP A H GISH              score=0.0005  lname_rank=#870
 166. ROEL A D HERD              score=0.0005  lname_rank=#750
 167. SHAY B K MASK              score=0.0005  lname_rank=#860
 168. SHAY B K TASK              score=0.0005  lname_rank=#860
 169. ROEL A M TERM              score=0.0005  lname_rank=#820
 170. ROEL A N TERN              score=0.0004  lname_rank=#840
 171. ROEL A D NERD              score=0.0004  lname_rank=#890
 172. CHER A K LECK              score=0.0004  lname_rank=#840
 173. CHER A K MECK              score=0.0004  lname_rank=#870
 174. CHER A K NECK              score=0.0004  lname_rank=#870
 175. DYAN B E WADE              score=0.0003  lname_rank=#247
 176. THOR A E MOTE              score=0.0003  lname_rank=#840
 177. LIAM B E DALE              score=0.0002  lname_rank=#510
 178. LIAM B Y DALY              score=0.0002  lname_rank=#540
 179. OCIE A N DION              score=0.0002  lname_rank=#770
 180. LIAM B D WALD              score=0.0002  lname_rank=#550
 181. OCIE A N LION              score=0.0002  lname_rank=#830
 182. LIAM B E GALE              score=0.0002  lname_rank=#640
 183. LIAM B E SALE              score=0.0002  lname_rank=#680
 184. LIAM B E VALE              score=0.0002  lname_rank=#700
 185. LIAM B T SALT              score=0.0002  lname_rank=#750
 186. LIAM B E TALE              score=0.0002  lname_rank=#820
 187. LIAM B K WALK              score=0.0002  lname_rank=#820
 188. LIAM B E KALE              score=0.0001  lname_rank=#830
 189. SHAN B T MAST              score=0.0001  lname_rank=#790
 190. SHAN B K MASK              score=0.0001  lname_rank=#860
 191. SHAN B K TASK              score=0.0001  lname_rank=#860
